,open,high,low,close,adjclose,volume,ticker
2019-11-25,505426.125,524795.625,474043.875,512302.03125,512302.03125,3060078447275,BTC-INR
2019-11-26,512232.125,524058.9375,507658.0,515668.875,515668.875,1509458026488,BTC-INR
2019-11-27,515848.15625,542793.0625,497645.71875,536541.4375,536541.4375,1709102805582,BTC-INR
2019-11-28,536908.8125,552534.0,533396.0625,534040.5,534040.5,1363176843467,BTC-INR
2019-11-29,534299.625,558000.0625,533871.5625,556900.25,556900.25,1414249487734,BTC-INR
2019-11-30,557102.1875,562271.625,539292.25,543151.25,543151.25,1231169108704,BTC-INR
2019-12-01,543293.75,543293.75,523182.9375,532704.625,532704.625,1343240243626,BTC-INR
2019-12-02,532686.25,536262.1875,518806.5625,524510.5625,524510.5625,1223671798056,BTC-INR
2019-12-03,524652.875,532177.0,518408.15625,525264.375,525264.375,1061808388848,BTC-INR
2019-12-04,525262.875,539263.0,514381.09375,518448.71875,518448.71875,1548778836341,BTC-INR
2019-12-05,518535.03125,552062.6875,517064.09375,531771.875,531771.875,1343374292192,BTC-INR
2019-12-06,531932.8125,538078.25,526850.1875,538078.25,538078.25,1290794134274,BTC-INR
2019-12-07,538097.375,541140.8125,536560.625,538737.125,538737.125,1101789655656,BTC-INR
2019-12-08,538387.8125,544324.5625,533022.875,539284.25,539284.25,1098617282757,BTC-INR
2019-12-09,539102.4375,541165.625,522690.3125,525241.75,525241.75,1268377170982,BTC-INR
2019-12-10,524974.5625,526456.0625,512965.5,515525.1875,515525.1875,1292618917909,BTC-INR
2019-12-11,515459.875,518422.125,508776.34375,510555.71875,510555.71875,1156622200614,BTC-INR
2019-12-12,510507.03125,512657.71875,506113.75,511147.21875,511147.21875,1335682007284,BTC-INR
2019-12-13,511255.03125,516289.28125,511785.125,513890.375,513890.375,1210609781432,BTC-INR
2019-12-14,513835.09375,516658.0,501698.15625,503639.625,503639.625,1211408063095,BTC-INR
2019-12-15,503608.9375,507626.625,489480.65625,505572.75,505572.75,1193271661998,BTC-INR
2019-12-16,505668.96875,508683.3125,489605.71875,491538.84375,491538.84375,1433196355575,BTC-INR
2019-12-17,491456.25,494124.15625,467976.71875,471708.9375,471708.9375,1588612653669,BTC-INR
2019-12-18,472219.21875,520074.0,464317.71875,516652.3125,516652.3125,2260390156456,BTC-INR
2019-12-19,516708.28125,521608.78125,501033.03125,513070.84375,513070.84375,1845229010376,BTC-INR
2019-12-20,513483.46875,516034.625,503667.53125,513254.25,513254.25,1609252942394,BTC-INR
2019-12-21,513380.59375,513567.78125,505711.96875,511287.78125,511287.78125,1373112802877,BTC-INR
2019-12-22,511289.90625,534532.625,509582.84375,534074.4375,534074.4375,1644867129293,BTC-INR
2019-12-23,533883.4375,545464.25,521769.21875,523873.0,523873.0,1982199426546,BTC-INR
2019-12-24,523785.0,536882.125,518281.0625,521803.625,521803.625,1638382876273,BTC-INR
2019-12-25,522033.34375,523801.4375,514195.9375,518427.5625,518427.5625,1536330250666,BTC-INR
2019-12-26,518402.1875,526767.5,513081.5625,516144.125,516144.125,1624732045057,BTC-INR
2019-12-27,516085.25,526142.5625,512642.28125,520712.8125,520712.8125,1626929952511,BTC-INR
2019-12-28,520637.28125,528495.0,520485.40625,522705.71875,522705.71875,1526096610073,BTC-INR
2019-12-29,522681.28125,536702.5625,519982.59375,530212.125,530212.125,1603301276070,BTC-INR
2019-12-30,530042.1875,532240.875,518647.96875,520151.0,520151.0,1631428819109,BTC-INR
2019-12-31,520253.96875,523079.5,510724.78125,512910.8125,512910.8125,1509295725753,BTC-INR
