,open,high,low,close,adjclose,volume,ticker
2019-11-25,2.260715961456299,2.379225015640259,2.0556180477142334,2.2750649452209473,2.2750649452209473,170091780,LINK-USD
2019-11-26,2.2708680629730225,2.3563060760498047,2.1798930168151855,2.276427984237671,2.276427984237671,143568310,LINK-USD
2019-11-27,2.2628250122070312,2.2874128818511963,2.1396989822387695,2.229166030883789,2.229166030883789,149542925,LINK-USD
2019-11-28,2.232964038848877,2.328200101852417,2.1926469802856445,2.2719249725341797,2.2719249725341797,146006115,LINK-USD
2019-11-29,2.2765510082244873,2.3616700172424316,2.269670009613037,2.3426198959350586,2.3426198959350586,160656952,LINK-USD
2019-11-30,2.341625928878784,2.3575689792633057,2.2152209281921387,2.2420759201049805,2.2420759201049805,123021580,LINK-USD
2019-12-01,2.242619037628174,2.243208885192871,2.141741991043091,2.1671319007873535,2.1671319007873535,136819693,LINK-USD
2019-12-02,2.1664750576019287,2.1753830909729004,2.0653159618377686,2.0949759483337402,2.0949759483337402,116492201,LINK-USD
2019-12-03,2.0949759483337402,2.2009270191192627,2.0502569675445557,2.1299850940704346,2.1299850940704346,109854018,LINK-USD
2019-12-04,2.1300930976867676,2.1414220333099365,2.018254041671753,2.048651933670044,2.048651933670044,145162286,LINK-USD
2019-12-05,2.046441078186035,2.106218099594116,1.972264051437378,2.0258069038391113,2.0258069038391113,126219927,LINK-USD
2019-12-06,2.026002883911133,2.104978084564209,1.9884289503097534,2.092442035675049,2.092442035675049,113399318,LINK-USD
2019-12-07,2.092858076095581,2.1096460819244385,2.054258108139038,2.061192035675049,2.061192035675049,88418201,LINK-USD
2019-12-08,2.060842990875244,2.0933709144592285,2.0285511016845703,2.0590059757232666,2.0590059757232666,103114465,LINK-USD
2019-12-09,2.0582079887390137,2.0926170349121094,2.0223019123077393,2.091032028198242,2.091032028198242,147696805,LINK-USD
2019-12-10,2.0913219451904297,2.2764549255371094,2.0674760341644287,2.2706570625305176,2.2706570625305176,218763851,LINK-USD
2019-12-11,2.270374059677124,2.2993481159210205,2.154892921447754,2.178049087524414,2.178049087524414,138162558,LINK-USD
2019-12-12,2.178049087524414,2.1951711177825928,2.05302095413208,2.1190710067749023,2.1190710067749023,142758973,LINK-USD
2019-12-13,2.1189210414886475,2.130671977996826,2.07348895072937,2.077310085296631,2.077310085296631,117843001,LINK-USD
2019-12-14,2.076446056365967,2.093985080718994,1.9909149408340454,2.010685920715332,2.010685920715332,105295566,LINK-USD
2019-12-15,2.01055908203125,2.119239091873169,1.9825069904327393,2.0868399143218994,2.0868399143218994,114518248,LINK-USD
2019-12-16,2.0869240760803223,2.0892510414123535,1.9773390293121338,1.9815829992294312,1.9815829992294312,97454140,LINK-USD
2019-12-17,1.9817960262298584,2.00640606880188,1.724099040031433,1.7563519477844238,1.7563519477844238,172213180,LINK-USD
2019-12-18,1.7559950351715088,1.8807209730148315,1.6551189422607422,1.8807209730148315,1.8807209730148315,209932252,LINK-USD
2019-12-19,1.8811739683151245,1.8883440494537354,1.7466590404510498,1.8204929828643799,1.8204929828643799,150914459,LINK-USD
2019-12-20,1.8204929828643799,1.9244149923324585,1.8016979694366455,1.9234329462051392,1.9234329462051392,124354682,LINK-USD
2019-12-21,1.923827052116394,1.9296989440917969,1.8722219467163086,1.873682975769043,1.873682975769043,88336767,LINK-USD
2019-12-22,1.8727320432662964,1.9470460414886475,1.8709770441055298,1.935425043106079,1.935425043106079,120076955,LINK-USD
2019-12-23,1.9353220462799072,1.9576139450073242,1.861739993095398,1.8768500089645386,1.8768500089645386,130569408,LINK-USD
2019-12-24,1.8771580457687378,1.886733055114746,1.8353220224380493,1.8631199598312378,1.8631199598312378,131772813,LINK-USD
2019-12-25,1.8631199598312378,1.8631199598312378,1.788040041923523,1.8047579526901245,1.8047579526901245,86020952,LINK-USD
2019-12-26,1.8055980205535889,1.9415090084075928,1.787485957145691,1.861799955368042,1.861799955368042,79180350,LINK-USD
2019-12-27,1.8606690168380737,1.9460159540176392,1.8542859554290771,1.8865059614181519,1.8865059614181519,74031488,LINK-USD
2019-12-28,1.8861819505691528,1.9093209505081177,1.869325041770935,1.8743380308151245,1.8743380308151245,53567273,LINK-USD
2019-12-29,1.874290943145752,1.920132040977478,1.8586649894714355,1.9024039506912231,1.9024039506912231,53574998,LINK-USD
2019-12-30,1.9026730060577393,1.9067180156707764,1.8293089866638184,1.8389739990234375,1.8389739990234375,57136151,LINK-USD
2019-12-31,1.8392679691314697,1.8408299684524536,1.7624050378799438,1.7694710493087769,1.7694710493087769,58903187,LINK-USD
2020-01-01,1.7689260244369507,1.8514169454574585,1.7634199857711792,1.8066400289535522,1.8066400289535522,69723037,LINK-USD
2020-01-02,1.8071609735488892,1.8168820142745972,1.7216579914093018,1.7411439418792725,1.7411439418792725,52729126,LINK-USD
2020-01-03,1.7409659624099731,1.8265340328216553,1.7125780582427979,1.8097079992294312,1.8097079992294312,61298048,LINK-USD
2020-01-04,1.8097349405288696,1.8511120080947876,1.7897419929504395,1.8401329517364502,1.8401329517364502,49108150,LINK-USD
2020-01-05,1.8388789892196655,1.8552290201187134,1.8036819696426392,1.8077869415283203,1.8077869415283203,55235942,LINK-USD
2020-01-06,1.8083250522613525,1.9387680292129517,1.8079839944839478,1.937466025352478,1.937466025352478,80941179,LINK-USD
2020-01-07,1.9348360300064087,2.125786066055298,1.9050769805908203,2.114098072052002,2.114098072052002,140921324,LINK-USD
2020-01-08,2.113118886947632,2.334433078765869,2.10817289352417,2.183605909347534,2.183605909347534,192821111,LINK-USD
2020-01-09,2.182257890701294,2.2326951026916504,2.114586114883423,2.186048984527588,2.186048984527588,109938413,LINK-USD
2020-01-10,2.189126968383789,2.2586441040039062,2.1618449687957764,2.223958969116211,2.223958969116211,109888554,LINK-USD
2020-01-11,2.224940061569214,2.3349220752716064,2.22161602973938,2.2832469940185547,2.2832469940185547,107902217,LINK-USD
2020-01-12,2.2827680110931396,2.310689926147461,2.226564884185791,2.2451930046081543,2.2451930046081543,87342008,LINK-USD
2020-01-13,2.243891954421997,2.244438886642456,2.163454055786133,2.192452907562256,2.192452907562256,78803227,LINK-USD
2020-01-14,2.1920669078826904,2.4506969451904297,2.181480884552002,2.3899269104003906,2.3899269104003906,135612258,LINK-USD
2020-01-15,2.3835079669952393,2.5679140090942383,2.3610169887542725,2.4049770832061768,2.4049770832061768,149371800,LINK-USD
2020-01-16,2.4078218936920166,2.500261068344116,2.2978219985961914,2.4844789505004883,2.4844789505004883,143515776,LINK-USD
2020-01-17,2.4849090576171875,2.836941957473755,2.4656059741973877,2.724108934402466,2.724108934402466,257924221,LINK-USD
2020-01-18,2.7181010246276855,2.7885749340057373,2.603804111480713,2.7741050720214844,2.7741050720214844,167529444,LINK-USD
2020-01-19,2.77640700340271,2.8369929790496826,2.5574629306793213,2.6189510822296143,2.6189510822296143,175287789,LINK-USD
2020-01-20,2.621630907058716,2.7387330532073975,2.552870035171509,2.697299003601074,2.697299003601074,149645626,LINK-USD
2020-01-21,2.6969220638275146,2.735785961151123,2.584949016571045,2.6735498905181885,2.6735498905181885,118493954,LINK-USD
2020-01-22,2.6780331134796143,2.6877338886260986,2.6257619857788086,2.6455819606781006,2.6455819606781006,97214236,LINK-USD
2020-01-23,2.646260976791382,2.64882493019104,2.4366180896759033,2.462109088897705,2.462109088897705,128284126,LINK-USD
2020-01-24,2.4654510021209717,2.5299079418182373,2.374825954437256,2.504390001296997,2.504390001296997,121390827,LINK-USD
2020-01-25,2.5048439502716064,2.511652946472168,2.4289169311523438,2.456526041030884,2.456526041030884,96793337,LINK-USD
2020-01-26,2.4568800926208496,2.5728039741516113,2.4373369216918945,2.571582078933716,2.571582078933716,101906615,LINK-USD
2020-01-27,2.5720040798187256,2.6767070293426514,2.5720040798187256,2.609652042388916,2.609652042388916,125100879,LINK-USD
2020-01-28,2.6108639240264893,2.6681931018829346,2.5965399742126465,2.655339002609253,2.655339002609253,130829516,LINK-USD
2020-01-29,2.6556100845336914,2.81472110748291,2.6463170051574707,2.7853240966796875,2.7853240966796875,166469457,LINK-USD
2020-01-30,2.782404899597168,2.939984083175659,2.724334955215454,2.9129879474639893,2.9129879474639893,189044589,LINK-USD
2020-01-31,2.9175350666046143,2.9175350666046143,2.782067060470581,2.823791027069092,2.823791027069092,132881059,LINK-USD
2020-02-01,2.8248519897460938,2.8733699321746826,2.7554190158843994,2.8389530181884766,2.8389530181884766,121185567,LINK-USD
2020-02-02,2.8397300243377686,2.892693042755127,2.738210916519165,2.832581043243408,2.832581043243408,135278751,LINK-USD
2020-02-03,2.8315110206604004,2.862968921661377,2.7577741146087646,2.7746589183807373,2.7746589183807373,128902317,LINK-USD
2020-02-04,2.774677038192749,2.800909996032715,2.6864891052246094,2.7411210536956787,2.7411210536956787,134721884,LINK-USD
2020-02-05,2.740072011947632,2.874556064605713,2.730700969696045,2.8456289768218994,2.8456289768218994,157306879,LINK-USD
2020-02-06,2.845249891281128,2.92970609664917,2.8094120025634766,2.8846819400787354,2.8846819400787354,165611492,LINK-USD
2020-02-07,2.8841609954833984,3.353101968765259,2.883168935775757,3.3085319995880127,3.3085319995880127,380527539,LINK-USD
2020-02-08,3.299607992172241,3.454267978668213,3.1472580432891846,3.414457082748413,3.414457082748413,305697106,LINK-USD
2020-02-09,3.412976026535034,3.478377103805542,3.2716081142425537,3.4773130416870117,3.4773130416870117,227524199,LINK-USD
2020-02-10,3.4836740493774414,3.484994888305664,3.2932560443878174,3.4114840030670166,3.4114840030670166,232733529,LINK-USD
2020-02-11,3.410835027694702,3.9755589962005615,3.357999086380005,3.9755589962005615,3.9755589962005615,388126746,LINK-USD
2020-02-12,3.975200891494751,4.194424152374268,3.868556022644043,4.025118827819824,4.025118827819824,455111359,LINK-USD
2020-02-13,4.017292022705078,4.091565132141113,3.7681610584259033,3.8744349479675293,3.8744349479675293,336049071,LINK-USD
2020-02-14,3.875108003616333,4.472705841064453,3.8108561038970947,4.41437292098999,4.41437292098999,416798319,LINK-USD
2020-02-15,4.41437292098999,4.607384204864502,4.1114068031311035,4.304660797119141,4.304660797119141,498446606,LINK-USD
2020-02-16,4.312032222747803,4.830978870391846,4.145688056945801,4.504170894622803,4.504170894622803,640799699,LINK-USD
2020-02-17,4.489747047424316,4.549448013305664,3.882564067840576,4.297008991241455,4.297008991241455,529297131,LINK-USD
2020-02-18,4.296799182891846,4.592680931091309,4.158082008361816,4.543797016143799,4.543797016143799,431990469,LINK-USD
2020-02-19,4.547123908996582,4.820899963378906,4.357399940490723,4.4013261795043945,4.4013261795043945,415141905,LINK-USD
2020-02-20,4.398290157318115,4.465522766113281,4.128582954406738,4.271368980407715,4.271368980407715,404800386,LINK-USD
2020-02-21,4.270018100738525,4.4841461181640625,4.211729049682617,4.292057991027832,4.292057991027832,339638604,LINK-USD
2020-02-22,4.294083118438721,4.335811138153076,4.069707870483398,4.1029372215271,4.1029372215271,303556869,LINK-USD
2020-02-23,4.108078956604004,4.356912136077881,4.0876288414001465,4.243481159210205,4.243481159210205,299278626,LINK-USD
2020-02-24,4.241330146789551,4.268898010253906,3.82273006439209,3.913672924041748,3.913672924041748,343314668,LINK-USD
2020-02-25,3.913309097290039,3.9529941082000732,3.51310396194458,3.51310396194458,3.51310396194458,340819809,LINK-USD
2020-02-26,3.512078046798706,3.8260788917541504,3.3406689167022705,3.600724935531616,3.600724935531616,505501668,LINK-USD
2020-02-27,3.5982279777526855,4.110694885253906,3.4586780071258545,3.9485950469970703,3.9485950469970703,492056386,LINK-USD
2020-02-28,3.9463140964508057,4.19926118850708,3.788724899291992,4.161910057067871,4.161910057067871,506674282,LINK-USD
2020-02-29,4.163207054138184,4.351399898529053,4.108337879180908,4.108541011810303,4.108541011810303,452201071,LINK-USD
2020-03-01,4.1057820320129395,4.20423698425293,3.7942140102386475,3.879533052444458,3.879533052444458,423505999,LINK-USD
2020-03-02,3.8802530765533447,4.313528060913086,3.8301000595092773,4.2150068283081055,4.2150068283081055,437170132,LINK-USD
2020-03-03,4.214069843292236,4.657595157623291,4.1546430587768555,4.583631992340088,4.583631992340088,518469329,LINK-USD
2020-03-04,4.582993984222412,4.9504499435424805,4.563704013824463,4.644871234893799,4.644871234893799,662474676,LINK-USD
2020-03-05,4.642681121826172,4.88531494140625,4.635666847229004,4.721253871917725,4.721253871917725,542142056,LINK-USD
2020-03-06,4.720170021057129,4.7458977699279785,4.570166110992432,4.678497791290283,4.678497791290283,384700765,LINK-USD
2020-03-07,4.675084114074707,4.678994178771973,4.340524196624756,4.344593048095703,4.344593048095703,375742253,LINK-USD
2020-03-08,4.346773147583008,4.432005882263184,3.9048349857330322,4.0896711349487305,4.0896711349487305,554855517,LINK-USD
2020-03-09,4.083906173706055,4.3434739112854,3.676137924194336,4.063914775848389,4.063914775848389,751627574,LINK-USD
2020-03-10,4.094791889190674,4.204220771789551,3.9509260654449463,4.08493185043335,4.08493185043335,531064759,LINK-USD
2020-03-11,4.087635040283203,4.106828212738037,3.6006019115448,3.817517042160034,3.817517042160034,464691611,LINK-USD
2020-03-12,3.817239999771118,3.8340680599212646,1.9682929515838623,2.064779043197632,2.064779043197632,678674595,LINK-USD
2020-03-13,2.0634210109710693,2.7146248817443848,1.5068680047988892,2.4211349487304688,2.4211349487304688,905688605,LINK-USD
2020-03-14,2.425879955291748,2.5017430782318115,2.0986850261688232,2.1435179710388184,2.1435179710388184,448070726,LINK-USD
2020-03-15,2.143371105194092,2.356726884841919,2.0500290393829346,2.109210968017578,2.109210968017578,440244557,LINK-USD
2020-03-16,2.1119940280914307,2.1119940280914307,1.5996659994125366,1.779876947402954,1.779876947402954,539952973,LINK-USD
2020-03-17,1.7784450054168701,2.046241044998169,1.757125973701477,1.842805027961731,1.842805027961731,402042487,LINK-USD
2020-03-18,1.8414939641952515,1.9055830240249634,1.7848320007324219,1.8876999616622925,1.8876999616622925,304298998,LINK-USD
2020-03-19,1.8920530080795288,2.343813896179199,1.8831729888916016,2.2466659545898438,2.2466659545898438,447725949,LINK-USD
2020-03-20,2.24881911277771,2.6032700538635254,2.0907459259033203,2.2479000091552734,2.2479000091552734,526429075,LINK-USD
2020-03-21,2.248553991317749,2.3314249515533447,2.129991054534912,2.2716150283813477,2.2716150283813477,317973845,LINK-USD
2020-03-22,2.2728090286254883,2.314800977706909,1.9641350507736206,1.9888650178909302,1.9888650178909302,295425228,LINK-USD
2020-03-23,1.9896650314331055,2.23779296875,1.9494060277938843,2.23779296875,2.23779296875,354551260,LINK-USD
2020-03-24,2.233726978302002,2.358652114868164,2.199892997741699,2.3078970909118652,2.3078970909118652,321474267,LINK-USD
2020-03-25,2.309504985809326,2.3293099403381348,2.2152960300445557,2.2596750259399414,2.2596750259399414,257497959,LINK-USD
2020-03-26,2.2592830657958984,2.295137882232666,2.2282838821411133,2.295137882232666,2.295137882232666,209695287,LINK-USD
2020-03-27,2.295300006866455,2.335921049118042,2.174971103668213,2.174971103668213,2.174971103668213,222982485,LINK-USD
2020-03-28,2.175417900085449,2.1801669597625732,2.065829038619995,2.1367108821868896,2.1367108821868896,234279603,LINK-USD
2020-03-29,2.1375839710235596,2.1518259048461914,2.0229790210723877,2.025167942047119,2.025167942047119,178728617,LINK-USD
2020-03-30,2.0244650840759277,2.182231903076172,2.0154800415039062,2.153320074081421,2.153320074081421,220332929,LINK-USD
2020-03-31,2.1497719287872314,2.277843952178955,2.122720956802368,2.2703440189361572,2.2703440189361572,239526252,LINK-USD
2020-04-01,2.2703440189361572,2.2952868938446045,2.1614980697631836,2.2782599925994873,2.2782599925994873,289006168,LINK-USD
2020-04-02,2.2746269702911377,2.389772891998291,2.2659459114074707,2.301708936691284,2.301708936691284,294353542,LINK-USD
2020-04-03,2.301745891571045,2.379148006439209,2.2866909503936768,2.3050670623779297,2.3050670623779297,226925452,LINK-USD
2020-04-04,2.3050670623779297,2.326719045639038,2.271449089050293,2.3262128829956055,2.3262128829956055,194260780,LINK-USD
2020-04-05,2.326411008834839,2.3271450996398926,2.2632040977478027,2.277324914932251,2.277324914932251,161676431,LINK-USD
2020-04-06,2.277657985687256,2.515688896179199,2.2776029109954834,2.513413906097412,2.513413906097412,325590660,LINK-USD
2020-04-07,2.524461030960083,2.8735549449920654,2.524461030960083,2.717984914779663,2.717984914779663,577910419,LINK-USD
